"time","class","pkts","tcp_retx_pkts"
"24-Sep-2013 16:00:00","Inbound",41817267,336201
"24-Sep-2013 16:00:00","Outbound",28833682,763704
"24-Sep-2013 15:00:00","Inbound",28304079,115527
"24-Sep-2013 15:00:00","Outbound",21579358,1431228
"24-Sep-2013 14:00:00","Inbound",39164734,133465
"24-Sep-2013 14:00:00","Outbound",29578153,706683
"24-Sep-2013 13:00:00","Inbound",53955933,457638
"24-Sep-2013 13:00:00","Outbound",39768860,1554158
"24-Sep-2013 12:00:00","Inbound",61070733,461588
"24-Sep-2013 12:00:00","Outbound",40255901,208494
"24-Sep-2013 11:00:00","Inbound",56780309,397318
"24-Sep-2013 11:00:00","Outbound",38835686,263972
"24-Sep-2013 10:00:00","Inbound",45939389,285504
"24-Sep-2013 10:00:00","Outbound",31428326,178035
"24-Sep-2013 09:00:00","Inbound",38612414,121931
"24-Sep-2013 09:00:00","Outbound",28316589,101480
"24-Sep-2013 08:00:00","Inbound",20060767,20434
"24-Sep-2013 08:00:00","Outbound",15314453,31477
"24-Sep-2013 07:00:00","Inbound",11115514,6200
"24-Sep-2013 07:00:00","Outbound",8827430,18673
"24-Sep-2013 06:00:00","Inbound",2079964,2954
"24-Sep-2013 06:00:00","Outbound",2252484,18395
